Seq	zspec	lmass	Fu	e_Fu	Fr	e_Fr
 5518	          	  9.88	 7.87516e-01	 6.84402e-02	 3.90480e+00	 1.73007e-01
 5519	          	  8.70	 1.06842e-01	 7.62464e-03	 2.03253e-01	 2.16031e-02
 5520	          	  9.26	 4.85740e-01	 1.86985e-02	 1.04682e+00	 1.19816e-02
 5521	          	 10.49	 8.51084e-01	 2.93004e-01	 2.88013e+00	 4.52395e-01
 5522	          	  9.54	 5.53865e-01	 2.81385e-02	 1.23762e+00	 6.55356e-02
 5523	          	 10.79	 6.97103e-01	 3.64893e-02	 7.11985e+00	 1.58484e-01
 5524	          	  9.86	 7.60997e-01	 2.97724e-02	 1.63168e+00	 1.16185e-02
 5525	          	  8.17	 1.39439e-01	 7.26156e-03	 4.42705e-01	 9.62157e-03
 5526	          	  8.77	 2.55804e-01	 1.67016e-02	 4.02450e-01	 3.26770e-03
 5527	          	  8.47	 8.60789e-02	 1.47047e-02	 1.24014e-01	 1.45231e-02
 5528	          	  9.97	 1.64904e+00	 6.88033e-02	 3.01618e+00	 4.72909e-01
 5529	          	  9.04	 4.99370e-01	 1.52493e-02	 1.04973e+00	 3.99386e-03
 5530	          	  8.63	 1.47581e-01	 9.44003e-03	 2.41760e-01	 1.85170e-02
 5531	          	  8.52	 9.07288e-02	 1.65201e-02	 1.91129e-01	 1.70647e-02
 5532	          	  9.39	 8.16327e-01	 2.10585e-02	 1.68934e+00	 1.59754e-02
 5533	          	  9.56	 3.21224e-01	 1.07108e-02	 5.87108e-01	 8.80464e-02
 5534	          	  9.37	 1.86558e-01	 3.26770e-03	 5.34117e-01	 8.89541e-03
 5535	          	  8.86	 6.75815e-02	 8.89541e-03	 1.16307e-01	 1.16185e-02
